timestamp,temperature,humidity,light,sound
1774805192483.0,21.0,50.0,77.0,84.0
1774805202942.0,21.0,50.0,77.0,84.0
1774805213379.0,21.0,50.0,78.0,84.0
1774805223837.0,21.0,50.0,79.0,84.0
1774805234320.0,21.0,51.0,80.0,113.0
1774805244753.0,21.0,51.0,82.0,251.0
1774805255211.0,21.0,51.0,81.0,86.0
1774805265643.0,20.0,51.0,80.0,86.0
1774805276077.0,20.0,51.0,84.0,86.0
1774805286510.0,20.0,51.0,84.0,87.0
1774805296943.0,20.0,51.0,85.0,88.0
1774805307403.0,20.0,51.0,84.0,87.0
1774805317860.0,20.0,51.0,86.0,89.0
1774805328298.0,20.0,51.0,85.0,148.0
1774805338757.0,20.0,51.0,84.0,88.0
1774805349191.0,20.0,51.0,84.0,89.0
1774805359636.0,20.0,51.0,84.0,89.0
1774805370092.0,20.0,51.0,84.0,90.0
1774805380554.0,20.0,51.0,84.0,90.0
1774805391008.0,20.0,51.0,86.0,255.0
1774805401455.0,20.0,51.0,87.0,91.0
1774805411917.0,20.0,51.0,87.0,91.0
1774805422386.0,20.0,52.0,64.0,134.0
1774805432842.0,20.0,52.0,66.0,92.0
1774805443276.0,20.0,52.0,54.0,92.0
1774805453758.0,20.0,52.0,55.0,128.0
1774805464191.0,20.0,52.0,53.0,93.0
1774805474650.0,20.0,52.0,86.0,114.0
1774805485113.0,20.0,52.0,86.0,94.0
1774805495584.0,20.0,52.0,84.0,94.0
1774805506052.0,20.0,52.0,83.0,129.0
1774805506052.0,20.0,52.0,83.0,129.0
1774805516543.0,20.0,52.0,84.0,110.0
1774805527031.0,20.0,52.0,83.0,95.0
1774805537489.0,20.0,52.0,84.0,96.0
1774805547971.0,20.0,52.0,83.0,140.0
1774805558452.0,20.0,52.0,84.0,97.0
1774805568910.0,20.0,52.0,84.0,96.0
1774805579393.0,20.0,52.0,84.0,97.0
1774805589850.0,20.0,52.0,84.0,156.0
1774805600332.0,20.0,53.0,85.0,113.0
1774805610815.0,20.0,52.0,84.0,126.0
1774805621299.0,20.0,52.0,84.0,123.0
1774805631781.0,20.0,52.0,86.0,124.0
1774805642239.0,20.0,52.0,84.0,99.0
1774805652722.0,20.0,52.0,84.0,114.0
1774805663180.0,20.0,52.0,84.0,124.0
1774805673616.0,20.0,52.0,84.0,148.0
1774805684099.0,20.0,52.0,84.0,101.0
1774805694583.0,20.0,52.0,84.0,102.0
1774805705041.0,20.0,52.0,84.0,138.0
1774805715526.0,20.0,53.0,84.0,102.0
1774805725985.0,20.0,52.0,86.0,156.0
1774805736467.0,20.0,53.0,84.0,103.0
1774805746950.0,20.0,52.0,84.0,104.0
1774805757433.0,20.0,53.0,84.0,114.0
1774805767916.0,20.0,52.0,84.0,126.0
1774805778374.0,20.0,53.0,83.0,127.0
1774805788832.0,19.0,52.0,83.0,123.0
1774805799315.0,19.0,52.0,83.0,105.0
1774805809777.0,19.0,52.0,84.0,110.0
1774805809777.0,19.0,52.0,84.0,110.0
1774805820244.0,19.0,52.0,83.0,105.0
1774805830715.0,19.0,52.0,83.0,138.0
1774805841183.0,19.0,52.0,86.0,107.0
1774805851662.0,19.0,53.0,84.0,106.0
1774805862137.0,19.0,52.0,83.0,117.0
1774805872607.0,19.0,53.0,83.0,115.0
1774805883084.0,19.0,52.0,83.0,141.0
1774805893533.0,19.0,53.0,83.0,135.0
1774805904002.0,19.0,53.0,83.0,135.0
1774805914498.0,19.0,53.0,86.0,108.0
1774805924959.0,19.0,52.0,85.0,115.0
1774805935416.0,19.0,53.0,84.0,109.0
1774805945879.0,19.0,53.0,83.0,131.0
1774805956338.0,19.0,53.0,82.0,110.0
1774805966820.0,19.0,53.0,83.0,109.0
1774805977302.0,19.0,53.0,86.0,130.0
1774805987784.0,19.0,53.0,83.0,111.0
1774805998241.0,19.0,53.0,83.0,137.0
1774806008727.0,19.0,53.0,84.0,135.0
1774806019195.0,19.0,53.0,83.0,130.0
1774806029668.0,19.0,53.0,83.0,112.0
1774806040146.0,19.0,52.0,83.0,160.0
1774806050602.0,19.0,53.0,85.0,112.0
1774806061073.0,19.0,53.0,83.0,113.0
1774806071543.0,19.0,53.0,83.0,114.0
1774806082037.0,19.0,53.0,83.0,113.0
1774806092506.0,19.0,53.0,85.0,114.0
1774806102974.0,19.0,53.0,84.0,146.0
1774806113471.0,19.0,53.0,83.0,134.0
1774806113471.0,19.0,53.0,83.0,134.0
1774806123942.0,19.0,53.0,83.0,117.0
