timestamp,temperature,humidity,light,sound,distance,motion
1776470706452,17.0,72.0,290,16,23,0
1776470716958,17.0,72.0,289,15,518,1
1776470727515,17.0,72.0,289,15,518,0
1776470738047,17.0,72.0,289,21,518,1
1776470748555,17.0,72.0,289,24,518,1
1776470759087,17.0,72.0,291,16,518,1
1776470769594,17.0,72.0,290,18,518,0
1776470780075,17.0,72.0,291,15,518,1
1776470790533,17.0,72.0,289,21,29,1
1776470801014,17.0,72.0,289,11,47,1
1776470811496,17.0,72.0,288,9,1,1
1776470821977,17.0,72.0,289,17,44,0
1776470832535,17.0,72.0,290,13,518,0
1776470843041,17.0,72.0,290,22,518,1
1776470853523,17.0,72.0,289,22,518,0
1776470864054,17.0,72.0,288,25,518,1
1776470874561,17.0,72.0,289,24,518,0
1776470885018,17.0,72.0,289,18,27,1
1776470895525,17.0,72.0,289,20,518,0
1776470906033,17.0,72.0,288,15,518,0
1776470916540,17.0,72.0,288,17,518,0
1776470927073,17.0,72.0,289,17,518,0
1776470933742,17.0,72.0,296,17,518,0
1776470948086,17.0,72.0,288,13,518,0
1776470958594,17.0,72.0,289,17,518,0
1776470965365,17.0,72.0,297,18,519,1
1776470975896,17.0,72.0,297,18,518,0
1776470986428,17.0,72.0,298,18,519,0
1776470996960,17.0,72.0,297,19,518,0
1776471007491,17.0,72.0,298,18,519,0
1776471018025,17.0,72.0,297,19,519,0
1776471028557,17.0,72.0,298,18,519,0
1776471039090,17.0,72.0,298,19,519,0
1776471049622,17.0,72.0,298,18,519,0
1776471060180,17.0,72.0,297,17,518,0
1776471070710,17.0,72.0,298,19,518,0
1776471081243,17.0,72.0,298,17,519,0
1776471091774,17.0,72.0,298,18,519,0
1776471102305,17.0,72.0,298,19,519,0
1776471112836,17.0,72.0,298,17,518,0
1776471123367,17.0,72.0,297,18,519,0
1776471133850,17.0,72.0,299,18,518,0
1776471144357,17.0,72.0,297,18,519,0
1776471154888,17.0,72.0,298,17,519,0
1776471165419,17.0,72.0,298,18,519,0
1776471168904,17.0,72.0,288,18,519,0
1776471179387,17.0,72.0,288,19,518,0
1776471189918,17.0,72.0,288,19,518,0
1776471200426,17.0,72.0,288,19,518,0
1776471210907,17.0,72.0,288,18,518,0
1776471221389,17.0,72.0,287,18,518,0
1776471231896,17.0,72.0,287,18,518,0
1776471242428,17.0,72.0,287,18,518,0
1776471252936,17.0,72.0,287,16,518,0
1776471263446,17.0,72.0,287,19,518,0
1776471273930,17.0,72.0,287,18,518,0
1776471284488,17.0,72.0,287,17,518,0
1776471295020,17.0,72.0,287,19,518,0
1776471305503,17.0,72.0,287,18,518,0
1776471316036,17.0,72.0,287,18,518,0
1776471326571,17.0,72.0,287,19,518,0
1776471337053,17.0,72.0,287,19,518,0
1776471347562,17.0,72.0,287,17,518,0
1776471358095,17.0,72.0,287,18,518,0
1776471368604,17.0,72.0,287,18,518,0
1776471379089,17.0,72.0,287,19,518,0
1776471389595,17.0,72.0,288,18,518,0
1776471400076,17.0,72.0,287,17,518,0
